input_id	dealiased_id	standard_id	short_id
sv_yeast	doi:10.1038/ncomms14061	doi:10.1038/ncomms14061	7mzK8m8A
sv_medical	doi:10.3389/fgene.2019.00426	doi:10.3389/fgene.2019.00426	YfgNV8TZ
tandem_repeats	doi:10.1038/nrg.2017.115	doi:10.1038/nrg.2017.115	7BsVHkd5
svcalling_review	doi:10.1186/s13059-019-1828-7	doi:10.1186/s13059-019-1828-7	ZROUgx5p
long_read_sequencing_review	doi:10.1038/s41576-021-00367-3	doi:10.1038/s41576-021-00367-3	NTaj3OT2
sniffles	doi:10.1038/s41592-018-0001-7	doi:10.1038/s41592-018-0001-7	13ZFMJxdq
smrtsv	doi:10.1101/gr.214007.116	doi:10.1101/gr.214007.116	rs7e40wC
pangenie	doi:10.1038/s41588-022-01043-w	doi:10.1038/s41588-022-01043-w	xTxiitR
hprc	doi:10.1038/s41586-023-05896-x	doi:10.1038/s41586-023-05896-x	CqG8RQye
pangenome_review	doi:10.1146/annurev-genom-120219-080406	doi:10.1146/annurev-genom-120219-080406	m03AmiSF
vg	doi:10.1038/nbt.4227	doi:10.1038/nbt.4227	10jxt15v0
giraffe	doi:10.1126/science.abg8871	doi:10.1126/science.abg8871	WCEeLZ0k
reference_bias	doi:10.1186/s13059-020-02160-7	doi:10.1186/s13059-020-02160-7	cO2lshLU
kage	doi:10.1186/s13059-022-02771-2	doi:10.1186/s13059-022-02771-2	kWWwizJT
graphtyper	doi:10.1038/ng.3964	doi:10.1038/ng.3964	ohTIiqfV
malva	doi:10.1016/j.isci.2019.07.011	doi:10.1016/j.isci.2019.07.011	MpmJz9S5
glimpse	doi:10.1038/s41588-020-00756-0	doi:10.1038/s41588-020-00756-0	lu1eqKl0
truvari	doi:10.1186/s13059-022-02840-6	doi:10.1186/s13059-022-02840-6	uFRC6FaZ
giab	doi:10.1016/j.xgen.2022.100128	doi:10.1016/j.xgen.2022.100128	RSEHWg4W
bionumpy	doi:10.1101/2022.12.21.521373	doi:10.1101/2022.12.21.521373	i8VR6l5D
numpy	doi:10.1038/s41586-020-2649-2	doi:10.1038/s41586-020-2649-2	1LexfAxj
imputation_review	doi:10.1146/annurev.genom.9.081307.164242	doi:10.1146/annurev.genom.9.081307.164242	hqVwMwQf
thousand_genomes	doi:10.1038/nature15393	doi:10.1038/nature15393	11PJIeJyi
bayestyper	doi:10.1038/s41588-018-0145-5	doi:10.1038/s41588-018-0145-5	14Uxmwbxm
best_practices_benchmarking	doi:10.1038/s41587-019-0054-x	doi:10.1038/s41587-019-0054-x	g7Kb78ap
